did,oid,eid,sid,ent,pedestrianDestinationCentroid,pedestriansIn,pedestriansIn_D,pedestriansOut,pedestriansOut_D,speed,speed_D,hspeed,hspeed_D,travelTime,travelTime_D,walkingTime,walkingTime_D,meanStopTime,meanStopTime_D,maxStopTime,maxStopTime_D,numStops,numStops_D
432282,432045,,0,5,0.0,5.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432046,,0,5,0.0,20.0,0.0,3.0,0.0,2.59391899117182,0.548814432840079,2.50726333128072,0.0946328313208299,1334.93333333333,88.7543426167615,1146.50000000001,54.0556195043609,188.433333333327,55.1918774217094,250.59999999999,0.0,1.0,0.0
432282,432047,,0,5,0.0,9.0,0.0,1.0,0.0,2.04868577832478,-1.0,2.04868577832478,-1.0,1698.4,-1.0,948.599999999898,-1.0,749.800000000102,-1.0,749.800000000102,0.0,1.0,-1.0
432282,432289,,0,5,0.0,10.0,0.0,3.0,0.0,5.17457685103615,0.91720541678875,5.05390133133801,0.0390515957690398,326.133333333333,65.3866449157116,326.133333333333,65.3866449157116,0.0,0.0,0.0,0.0,0.0,0.0
432282,432037,,1,5,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432038,,1,5,0.0,6.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432039,,1,5,0.0,7.0,0.0,3.0,0.0,3.78888838646226,1.73709664496367,3.14366684896888,0.180880582088638,1446.13333333333,230.888833279856,1138.06666666662,387.273770520793,308.066666666714,533.587118785134,924.200000000142,0.0,1.0,1.73205080756888
432282,432040,,1,5,0.0,4.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432041,,1,5,0.0,12.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432042,,1,5,0.0,7.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432043,,1,5,0.0,16.0,0.0,3.0,0.0,2.4897227320493,0.0525345169721023,2.48898430909556,0.0084715258350859,2025.33333333333,164.810355661683,1594.39999999997,165.912959108083,430.933333333363,53.1409760291873,481.700000000041,0.0,1.66666666666667,0.577350269189625
432282,432044,,1,5,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432045,,1,5,0.0,5.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432046,,1,5,0.0,20.0,0.0,3.0,0.0,2.59391899117182,0.548814432840079,2.50726333128072,0.0946328313208299,1334.93333333333,88.7543426167615,1146.50000000001,54.0556195043609,188.433333333327,55.1918774217094,250.59999999999,0.0,1.0,0.0
432282,432047,,1,5,0.0,9.0,0.0,1.0,0.0,2.04868577832478,-1.0,2.04868577832478,-1.0,1698.4,-1.0,948.599999999898,-1.0,749.800000000102,-1.0,749.800000000102,0.0,1.0,-1.0
432282,432289,,1,5,0.0,10.0,0.0,3.0,0.0,5.17457685103615,0.91720541678875,5.05390133133801,0.0390515957690398,326.133333333333,65.3866449157116,326.133333333333,65.3866449157116,0.0,0.0,0.0,0.0,0.0,0.0
432282,432037,,0,6,0.0,2.0,0.0,1.0,0.0,3.48444808890127,-1.0,3.48444808890127,-1.0,2820.0,-1.0,2134.49999999991,-1.0,685.500000000087,-1.0,685.500000000087,0.0,2.0,-1.0
432282,432038,,0,6,0.0,8.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432039,,0,6,0.0,8.0,0.0,1.0,0.0,5.5807958658209,-1.0,5.5807958658209,-1.0,1148.8,-1.0,1148.8,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0
432282,432040,,0,6,0.0,4.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
